Label,sentence
원인불명>조치 전 자연 회복,안됨상담 중 자연회복됨
실시간 채널>네트워크 오류,수신 불인터넷 연결오류 뜸재부팅해 봄 모텔 영업용 일중 꼭 점검원하여 지사 이관함
실시간 채널>수신 불량,수신 불연 후방
실시간 채널>네트워크 오류,수신 불네트워크 오류 접수 보류
실시간 채널>수신 불량,수신 불 연락 후인입
단말>STB(작동)이상,채널은 정상 넷플릭스 안됨 포트리셋 미리 연락 후 방문 요망
단말>STB(부팅) 이상>부팅중 오류메시지 발생,수신 불서비스 시작 중
단말>STB(작동)이상,김현철 채팅지니 자체에서 잡음이 난다고 함고장 접수함 셋탑이상지니 자체에서 따다 다다 거리는 소리가 계속 나다고 함동일 증상으로 일경받았으나 또 소리가 난다고 함재부팅해도 동일 연후방
실시간 채널>음성 이상,나오나 따닥거리는 소리가 난다함리셋 후 잘 됨
VOD/컨텐츠>화질 이상,화질 불량 시청 중 멈추는 증상 반복됨 연락 후인입
실시간 채널>수신 불량,수신 불연 후방
실시간 채널>수신 불량,수신 불 연락 후 최대한 빠른 방문 요망
단말>STB(작동)이상,채널 정상 넷플릭스만 안됨 포트리셋 연락 후 최대한 빠른 방문 요망
원인불명>조치 전 자연 회복,수신 불스트림에러 자 연회복
실시간 채널>수신 불량,안됨리셋 후 정상
실시간 채널>수신 불량,안심권유 인터넷 지킴이가 입수신불재부팅 안내 후 정상 사용됨
단말>STB(작동)이상,넷플릭스 실행 불가리셋 후 잘됨 안심권유
실시간 채널>수신 불량,수신 불 최대한 빠른 점검요
단말>리모컨작동불가>M&S내방안내,리모컨 안됨 리모컨에 불계속 켜 짐 매장 안내
실시간 채널>수신 불량,수신 불셋 탑재 부팅 정상 확인됨
단말>리모컨작동불가>기타문의,리모컨 작동 불셋 탑재 부팅 후 정상 사용됨
"고객원인>부주의, ID/PW 분실 등",전원안 들어옴고객 측의뢰
"고객원인>부주의, ID/PW 분실 등",전원안 들어옴고객 측의뢰
실시간 채널>수신 불량,채널 수신 불량 시험 결과 코로나 미 대상
실시간 채널>수신 불량,안됨신 없음 외부 입력 확인 셋탑재 부팅해도 동일 보류
실시간 채널>수신 불량,수신불되도록 일 오전 방문 요청
실시간 채널>수신 불량,현재 수신 불평소 화면 끊어짐 코로나 미 대상
실시간 채널>네트워크 오류,요청사항 안됨인터넷 연결오류재부팅해도 동일 방문시간 참고
실시간 채널>수신 불량,수신 불재부팅 후 정상 사용됨
실시간 채널>수신 불량,요청사항 안됨신 없음 외부 입력 변경 후 정상 사용됨
실시간 채널>음성 이상,올레티비 음향 안 들림셋탑리셋 이후 올레티비 정상음향 들림
실시간 채널>수신 불량,수신불과 리모컨 반응 느림셋탑리셋 후 정상
실시간 채널>네트워크 오류,수신 불인터넷 연결오류 뜸 급 점검지연된다고 민원심 최대한 빠른 점검요
실시간 채널>수신 불량,안 됨
단말>STB(작동)이상,요청사항 조회 안됨 전원 적색점 등 수동 눌러도 반응 없음셋탑재 부팅해도 동일 방문 시간 참고
단말>STB(작동)이상,수신 불기가 지니 전원안 들어 옴기가 지니에 연결된 랜선도 헐거워져서 자꾸 빠진다고 랜선교체도 요청함
실시간 채널>수신 불량,큰 방수 신불코로나미 대상
실시간 채널>수신 불량,요청사항 안됨 방문해서 확인 요청함 연결된 지니대는 정상 방문 시간 참고인
"고객원인>부주의, ID/PW 분실 등",올레티비 시청 안됨 티비전원 안켜 짐 고객 측의뢰안내함
실시간 채널>수신 불량,방수신불시 방문요
실시간 채널>네트워크 오류,채널 수신 불량인터넷 연결오류시험 결과 코로나 미 대상
실시간 채널>수신 불량,차단기 내려간 후 수신불코로나미 대상
실시간 채널>수신 불량,안 됨
실시간 채널>네트워크 오류,수신 불네트워크 오류 최대한 빠른 점검 요청
실시간 채널>수신 불량,수신 불방쪽만 안됨 셋탑재 부팅 후 정상
실시간 채널>네트워크 오류,수신 불인터넷 연결오류 뜸재부팅해 봄 연락 먼저
실시간 채널>화질 이상,가능한 일방 요 분 정도 시청되면 화면 꺼짐 소리 정상 코로나 미 대상
단말>STB(작동)이상,요청사항 일반 아들 방안됨 전원 적색점 등재부팅해도 동일 기량 자 방문 요청함 방문 시간 참고
단말>STB(작동)이상,안됨 셋 탑 전원 빨간불껏 다 켜도 아무 반응 없음 최대한 빠른 방문 요청
"고객원인>부주의, ID/PW 분실 등",원룸 새로 입주 후 수신불세탑이 전혀 연결되어 있지 않음 취소 건 있음 일 방문 요청일은 늦게 근무해서 수리를 받을 수 없다고 하심
단말>STB(작동)이상,채팅 올레티비시청 안 됨셋탑 계속 꺼진다고 하심리셋해도 마찬가지 점검 요청 접수해 드림셋탑 교체도 원하심 방문 전 연락 요청
단말>STB(작동)이상,수신 불셋탑이상 전원만 빨간불 들어오고 수동 조작도 안됨 안방 쪽만 안됨 코로나 이 상무연 후방
실시간 채널>수신 불량,요청사항 시청 중 화면 흔들리고 블랙 화면으로 멈춰 진행 안됨재부팅해야 사용됨 리모컨 일부 버튼 작동 불방문 시간 참고
단말>리모컨작동불가>현장출동,스마트 셋탑 리모콘 안 됨기사 방문 요청함
실시간 채널>네트워크 오류,안 됨 거실 인터넷 연결오류 최대한 독촉
단말>STB(작동)이상,미리 연 후방 요기가 지니 전원
실시간 채널>네트워크 오류,대 모두 수신 불인터넷 오류 최대한 빠른 점검 요청 연 후방
실시간 채널>수신 불량,수신 불 연락 후인입
원인불명>조치 전 자연 회복,층수신 불조치 전 회복
실시간 채널>수신 불량,접속 불정상리셋오후시 방문 요청함
실시간 채널>수신 불량,수신 불인터넷 지킴이와 안심가입
실시간 채널>수신 불량,수신 불재부팅 후 정상 사용됨
실시간 채널>수신 불량,수신 불 외부에서 선 끊어짐 댁에 사람 없음 외부 점검요 방문 전 연락요
실시간 채널>네트워크 오류,시시수신 불네트워크 오류 뜸 여러 번 재부팅해야 된다고 함근 본점검 원함
단말>리모컨작동불가>택배발송,리모콘 인식 안됨 교환 요청 택배 요청 택배 처리해 드림
단말>STB(부팅) 이상>부팅중 오류메시지 발생,수신 불수신 카드 오류 전송 후 정상 사용됨
실시간 채널>네트워크 오류,안됨인터넷 연결오류리셋
실시간 채널>네트워크 오류,수신 불네트워크 오류리셋
단말>리모컨작동불가>택배발송,리모컨 작동 안됨 건전지 부분 스프링 고장 게재
단말>STB(부팅) 이상>부팅중 오류메시지 발생,거실 수신불 업그레이드 오류 최대한 빠른 점검 요청일 중으로 처리되도록 요청함 연후방
단말>리모컨작동불가>기타문의,리모콘 인식 안됨 셋탑리셋 이후 리모콘 정상 사용됨
실시간 채널>수신 불량,수신 불연 후방
단말>리모컨작동불가>기타문의,리모컨 안됨재부팅 후 정상
실시간 채널>수신 불량,수신 불급일 방문 가능하면 앞당겨와 달라 함일은 시 방문요 방문 일정은 안내함
실시간 채널>수신 불량,수신 불두 대다동 일일까지 기다릴 수 없음 일 방문 요청 집중 실통화 의뢰 후문자전송 요청
실시간 채널>네트워크 오류,요청사항 대안됨 댁내 배선 점검 요청함 스트림에러 방문시간 오후시시 방문 요청함 빠른 일정 확인 후 전송 안내 참고
실시간 채널>화질 이상,음성은 나오나 화면 안 나 옴재부팅해 봄 연락 먼저
