iter	RMSE
0	74737.55481
1	71229.61097
2	67898.63468
3	64691.22337
4	61899.82434
5	59285.35856
6	56941.48357
7	54810.95747
8	52384.09273
9	50346.98172
10	48559.1845
11	46713.09211
12	45174.37342
13	43626.87765
14	42292.29721
15	41158.21437
16	40009.36411
17	38899.90747
18	37809.85169
19	36802.45224
20	35863.72811
21	35120.40003
22	34368.86758
23	33524.72675
24	32941.16717
25	32359.70459
26	31727.247
27	31206.99386
28	30776.74555
29	30292.82094
30	29855.81567
31	29351.30256
32	28885.73351
33	28402.5556
34	28099.55896
35	27702.64051
36	27472.32087
37	27176.05666
38	26937.44807
39	26642.36827
40	26379.14406
41	26025.82045
42	25798.29149
43	25592.79654
44	25304.81965
45	25079.51666
46	24862.32936
47	24607.33537
48	24452.88199
49	24249.93199
50	24050.53418
51	23833.79671
52	23640.30624
53	23445.23848
54	23250.82773
55	23056.93893
56	23008.36168
57	22807.12862
58	22653.93267
59	22552.84648
60	22414.0053
61	22268.52262
62	22199.16503
63	22096.60649
64	21908.96507
65	21854.44311
66	21756.63751
67	21637.15826
68	21549.04318
69	21444.89049
70	21326.81408
71	21215.96705
72	21115.6928
73	21045.31705
74	20943.30184
75	20899.8508
76	20780.21076
77	20663.71985
78	20596.40987
79	20512.5034
80	20421.33717
81	20390.3234
82	20332.79678
83	20252.34202
84	20139.22206
85	19972.88426
86	19945.75379
87	19845.16843
88	19755.4483
89	19673.01604
90	19582.67113
91	19535.99363
92	19473.09119
93	19372.58811
94	19302.8154
95	19268.47994
96	19161.78644
97	19120.12562
98	19074.95876
99	19043.84885
100	18970.79545
101	18945.37031
102	18881.72641
103	18794.3647
104	18704.64344
105	18669.15029
106	18611.42468
107	18582.72604
108	18556.31288
109	18521.30172
110	18434.57551
111	18352.54825
112	18326.83623
113	18310.64359
114	18254.79642
115	18218.72963
116	18154.71128
117	18138.29321
118	18084.0637
119	18062.93497
120	17986.74135
121	17971.69873
122	17948.86711
123	17896.02074
