iter	Passed	Remaining
0	130	64914
1	132	33044
2	135	22416
3	137	17080
4	141	13976
5	143	11850
6	146	10294
7	148	9140
8	150	8233
9	153	7532
10	156	6962
11	159	6504
12	162	6089
13	164	5724
14	167	5415
15	170	5161
16	173	4928
17	176	4716
18	178	4521
19	181	4363
20	184	4214
21	187	4078
22	190	3946
23	192	3822
24	195	3709
25	197	3609
26	201	3532
27	204	3452
28	207	3364
29	209	3283
30	211	3202
31	213	3127
32	216	3066
33	219	3003
34	221	2938
35	223	2884
36	226	2830
37	228	2776
38	231	2735
39	234	2691
40	236	2652
41	239	2610
42	241	2569
43	244	2529
44	247	2497
45	249	2462
46	252	2428
47	254	2394
48	256	2359
49	258	2328
50	261	2301
51	264	2277
52	266	2246
53	268	2215
54	270	2187
55	272	2159
56	274	2132
57	276	2109
58	279	2088
59	281	2065
60	283	2041
61	285	2018
62	287	1996
63	290	1977
64	292	1959
65	294	1939
66	297	1919
67	299	1900
68	301	1882
69	303	1864
70	306	1851
71	308	1836
72	310	1818
73	313	1802
74	315	1785
75	317	1770
76	320	1758
77	322	1744
78	324	1730
79	326	1716
80	329	1702
81	331	1688
82	333	1675
83	336	1664
84	338	1653
85	340	1639
86	342	1626
87	344	1613
88	346	1601
89	348	1589
90	351	1578
91	353	1565
92	355	1554
93	357	1543
94	359	1532
95	360	1519
96	363	1508
97	365	1500
98	368	1491
99	370	1481
100	372	1471
101	374	1462
102	377	1453
103	379	1444
104	381	1436
105	384	1427
106	386	1420
107	388	1411
108	391	1402
109	393	1393
110	396	1387
111	398	1380
112	401	1373
113	403	1365
114	405	1356
115	407	1348
116	410	1343
117	413	1337
118	415	1330
119	418	1324
120	420	1317
121	422	1310
122	425	1305
123	428	1299
